"repository","issue_number","title","source_url","source_state","issue_type","review_area","review_state","suggested_review_lane","evidence","next_step_checklist"
"grafana/grafana","131949","Azure Monitor: Add Health Models to the Azure Monitor data source","https://github.com/grafana/grafana/issues/131949","open","feature-request","integrations","suggested","Integration review","issueType: type/feature-request | reviewArea: datasource/Azure","Identify the external system and the failing boundary. | Record the trigger, input, expected output, and observed output. | Ask the integration owner to reproduce the issue before assignment."
"grafana/grafana","112165","Dependency Dashboard","https://github.com/grafana/grafana/issues/112165","open","needs-review","observability","needs-review","Needs Review","reviewArea: Dependency Dashboard","Confirm the issue type and affected product area. | Collect the missing reproduction, version, and impact details. | Assign a review lane only after the evidence is clear."
"grafana/grafana","131863","13.2.0 RPM bundles catalog plugin binaries built with older Go stdlib (grafana-server itself is clean on go1.26.6)","https://github.com/grafana/grafana/issues/131863","open","bug","security-access","suggested","Security and access review","issueType: type/bug | reviewArea: area/security","Confirm that no credentials or private identifiers enter the review record. | Record the affected authentication or permission boundary. | Ask an authorized security or identity owner to assess the linked source."
"grafana/grafana","131944","Explore shows ""No data"" with no error when the query response is too large for the browser to parse","https://github.com/grafana/grafana/issues/131944","open","bug","observability","suggested","Observability review","issueType: type/bug | reviewArea: area/explore","Identify the dashboard, alert, metric, or visualization surface involved. | Confirm expected behavior and the smallest reproducible example. | Ask the relevant observability owner to review the linked evidence."
"grafana/grafana","116074","Alerting: Manually Set labels are not present in namespace when notification message is interpolated","https://github.com/grafana/grafana/issues/116074","open","bug","reliability","suggested","Reliability review","issueType: type/bug | reviewArea: area/alerting","Record the affected version, environment, recurrence, and visible impact. | Check the source for reproduction details and related reports. | Ask the responsible reliability owner to set priority."
"grafana/grafana","131937","Canvas panel: connector rounded-corner (radius) renders as a corrupted zigzag for certain bend directions","https://github.com/grafana/grafana/issues/131937","open","bug","observability","suggested","Observability review","issueType: type/bug | reviewArea: area/panel/canvas","Identify the dashboard, alert, metric, or visualization surface involved. | Confirm expected behavior and the smallest reproducible example. | Ask the relevant observability owner to review the linked evidence."
"grafana/grafana","131930","Auth: token rotate endpoint returns 401 without clearing session cookies when the token no longer exists, causing an infinite page reload loop (auth proxy + enable_login_token)","https://github.com/grafana/grafana/issues/131930","open","bug","security-access","suggested","Security and access review","issueType: type/bug | reviewArea: area/auth","Confirm that no credentials or private identifiers enter the review record. | Record the affected authentication or permission boundary. | Ask an authorized security or identity owner to assess the linked source."
"grafana/grafana","131927","Dashboards: ""RangeError: Maximum call stack size exceeded"" when browsing dashboards","https://github.com/grafana/grafana/issues/131927","open","bug","observability","suggested","Observability review","issueType: type/bug | reviewArea: area/dashboard/folders","Identify the dashboard, alert, metric, or visualization surface involved. | Confirm expected behavior and the smallest reproducible example. | Ask the relevant observability owner to review the linked evidence."
"grafana/grafana","128985","Grafana 13.1 Unified storage migration: CountValidator off-by-one false positive on PostgreSQL (GetStats) blocks startup though all rows migrated","https://github.com/grafana/grafana/issues/128985","open","bug","infrastructure","suggested","Infrastructure review","issueType: type/bug | issueType: type/regression | reviewArea: Grafana 13.1 Unified storage migration: CountValidator off-by-one false positive on PostgreSQL (GetStats) blocks startup though all rows migrated","Record the component, version, environment, and visible impact. | Confirm whether the source includes reproduction or validation evidence. | Ask the responsible infrastructure owner to review the issue."
"grafana/grafana","131921","13.1.5 links `apache/thrift` and `grpc-go` below their fixed versions; `main` already has thrift 0.24.0","https://github.com/grafana/grafana/issues/131921","open","bug","security-access","suggested","Security and access review","issueType: type/bug | reviewArea: area/security","Confirm that no credentials or private identifiers enter the review record. | Record the affected authentication or permission boundary. | Ask an authorized security or identity owner to assess the linked source."
"grafana/grafana","127164","debian package: Install fails for 13.1.0 with pre-existing /var/lib/grafana","https://github.com/grafana/grafana/issues/127164","closed","bug","general","closed-source","Closed source record review","issueType: type/bug | issueType: type/regression | reviewState: completed","Confirm the issue type and affected product area. | Collect the missing reproduction, version, and impact details. | Assign a review lane only after the evidence is clear."
"grafana/grafana","131924","""Label values"" query type variable does not use the row/tab-repeat-scoped datasource; ""Classic query"" with identical syntax does","https://github.com/grafana/grafana/issues/131924","open","bug","observability","suggested","Observability review","issueType: type/bug | reviewArea: area/dashboard/templating | reviewArea: area/dashboard/variable","Identify the dashboard, alert, metric, or visualization surface involved. | Confirm expected behavior and the smallest reproducible example. | Ask the relevant observability owner to review the linked evidence."
"grafana/grafana","131922","NetworkError when switching organization","https://github.com/grafana/grafana/issues/131922","open","bug","general","needs-review","Needs Review","issueType: type/bug","Confirm the issue type and affected product area. | Collect the missing reproduction, version, and impact details. | Assign a review lane only after the evidence is clear."
"grafana/grafana","127031","Phase 2.1 (@grafana/alerting-frontend): Migrate to async DataSource APIs","https://github.com/grafana/grafana/issues/127031","open","needs-review","observability","needs-review","Needs Review","reviewArea: Phase 2.1 (@grafana/alerting-frontend): Migrate to async DataSource APIs","Confirm the issue type and affected product area. | Collect the missing reproduction, version, and impact details. | Assign a review lane only after the evidence is clear."
"grafana/grafana","131843","Number formatting: a decimals count above 20 renders the scaling factor's exponent as data, and above 100 throws","https://github.com/grafana/grafana/issues/131843","open","bug","observability","suggested","Observability review","issueType: type/bug | reviewArea: area/dashboards/panel","Identify the dashboard, alert, metric, or visualization surface involved. | Confirm expected behavior and the smallest reproducible example. | Ask the relevant observability owner to review the linked evidence."
"grafana/grafana","125823","Dashboards: RangeError: Maximum call stack size exceeded","https://github.com/grafana/grafana/issues/125823","open","bug","observability","suggested","Observability review","issueType: type/bug | issueType: type/regression | reviewArea: area/dashboard/scenes","Identify the dashboard, alert, metric, or visualization surface involved. | Confirm expected behavior and the smallest reproducible example. | Ask the relevant observability owner to review the linked evidence."
"grafana/grafana","129089","Unified storage migration: a failed validator records no progress checkpoint, causing a permanent crash-loop on every restart","https://github.com/grafana/grafana/issues/129089","open","bug","general","needs-review","Needs Review","issueType: type/bug | issueType: type/regression | reviewArea: Unified storage migration: a failed validator records no progress checkpoint, causing a permanent crash-loop on every restart","Confirm the issue type and affected product area. | Collect the missing reproduction, version, and impact details. | Assign a review lane only after the evidence is clear."
"grafana/grafana","74502","BarChart: Not display value text when the values are close","https://github.com/grafana/grafana/issues/74502","open","needs-review","observability","needs-review","Needs Review","reviewArea: area/panel/barchart","Confirm the issue type and affected product area. | Collect the missing reproduction, version, and impact details. | Assign a review lane only after the evidence is clear."
"grafana/grafana","94966","Modal/Drawer: Prevent being able to scroll the underlying page","https://github.com/grafana/grafana/issues/94966","open","bug","general","needs-review","Needs Review","issueType: type/bug","Confirm the issue type and affected product area. | Collect the missing reproduction, version, and impact details. | Assign a review lane only after the evidence is clear."
